id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag,instrumentalness,loudness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,euphoric,0.15,0.65
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45,2020s,nostalgic,0.70,0.30
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62,2010s,aggressive,0.20,0.85
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,38,2020s,peaceful,0.80,0.20
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,pumped,0.10,0.90
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,25,2010s,dreamy,0.90,0.15
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,42,2000s,warm,0.60,0.35
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,55,2020s,nostalgic,0.40,0.55
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,50,2020s,steady,0.75,0.25
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,70,2020s,euphoric,0.20,0.60
11,Bass Drop City,DJ Flux,electronic,energetic,0.88,140,0.72,0.91,0.03,72,2020s,euphoric,0.05,0.95
12,Dusty Roads,Canyon Creek,country,relaxed,0.45,96,0.74,0.65,0.82,30,2010s,warm,0.55,0.40
13,Cold Steel,Iron Veil,metal,intense,0.95,168,0.32,0.55,0.08,48,2010s,aggressive,0.15,0.92
14,Late Night R&B,Velvet Keys,r&b,romantic,0.52,88,0.78,0.72,0.45,58,2020s,sensual,0.25,0.50
15,Golden Hour,Sunset Drifters,indie pop,happy,0.68,112,0.85,0.76,0.42,65,2020s,warm,0.30,0.55
16,Rainy Piano,Clara Moon,classical,sad,0.22,64,0.40,0.30,0.95,20,2010s,melancholic,0.95,0.10
17,Street Lights,MC Breeze,hip-hop,confident,0.78,105,0.66,0.84,0.12,68,2020s,bold,0.10,0.75
18,Campfire Songs,The Willows,folk,relaxed,0.30,82,0.72,0.48,0.93,22,2000s,warm,0.85,0.20
